journal,mu
AISM,0.316814773
AmS,0.402907058
ANZS,0.057009425
AoS,1.376735216
Bcs,0.848525724
Bern,0.693013424
BioJ,-0.400741314
Biost,0.656847559
Bka,1.288414944
CJS,0.304796896
CmpSt,-0.638570761
CSDA,-0.523885152
CSSC,-1.260054475
CSTM,-0.744334318
EES,-0.480180847
Envr,-0.107627476
ISR,0.328002448
JABES,-0.164673694
JAS,-1.412606577
JASA,1.261948829
JBS,-0.83430617
JCGS,0.644718391
JMA,-0.451683586
JNS,-0.526726968
JRSS-A,0.696056953
JRSS-B,2.091123088
JRSS-C,0.087277483
JSCS,-0.915992546
JSPI,-0.328238412
JSS,-0.801988945
JTSA,0.370903357
LDA,0.099458011
Mtka,-0.183512464
SJS,0.660470755
SMMR,-0.350131271
SPL,-0.094978558
StataJ,0.024074333
Stats,-0.653295433
StCmp,0.036090357
StMed,0.064927451
StMod,-0.219808798
StNee,-0.104908763
StPap,-1.346425268
StSci,0.113426327
StSin,0.288797216
Tech,0.532322658
Test,-0.69999088
